SquareFeet,Bedrooms,Bathrooms,YearBuilt,AvgIncome,Price
4042,2,2.5,1980,101678,726696
1859,2,2.5,1960,42109,374332
2522,2,2.5,2001,52010,488393
4114,3,2.0,1964,38787,742135
3957,3,2.0,1956,138400,740519
3425,2,3.0,1977,38472,650862
3529,4,1.0,2000,145111,716986
2397,1,3.5,2007,53383,504100
3860,1,1.0,1954,91709,620748
3493,4,3.5,1954,99785,705795
4427,2,2.0,1957,143253,753408
2163,3,1.0,2013,64518,456419
2781,1,1.5,1959,83909,451771
2463,5,3.5,1987,48351,569100
2329,5,3.0,1957,99624,555706
2838,4,1.5,1974,83330,557178
4102,2,3.5,2022,45282,805356
3037,1,3.0,2015,114866,606148
2106,2,3.5,1999,137945,506810
4829,1,2.5,2016,51778,858493
3475,4,2.5,1998,54264,700579
2082,4,3.0,1985,89675,484977
1509,5,3.5,2017,35075,469753
4548,2,2.0,1990,105948,832392
1463,5,2.0,2011,78454,422498
2798,2,1.0,1959,58365,471853
4245,5,1.0,1970,102766,775392
4543,3,2.5,1985,78200,828498
2295,3,3.5,1961,41002,497098
4104,3,3.5,1951,43947,746861
4563,3,3.0,1962,109222,860400
2653,1,3.0,2002,124840,558749
2091,3,1.0,1981,146219,481040
4381,4,2.5,1965,108610,802981
4257,4,3.0,1981,82142,822363
2436,1,1.5,1981,86307,418285
4496,3,3.5,1960,34493,791402
3799,3,2.0,1959,80085,663784
3952,3,1.5,1964,64228,686429
1498,5,2.0,1966,109676,408932
2960,2,2.5,1989,81875,580349
4897,5,1.5,1967,61655,860531
1654,2,1.0,2004,73472,338972
4274,3,1.0,2022,79437,768354
2507,3,1.5,1974,79416,498796
3577,5,1.5,2008,89711,721351
2533,5,1.0,1971,36816,496152
4310,2,1.5,1979,107175,757492
1002,4,3.5,1993,94307,361219
4055,2,2.5,1981,142728,771022
1566,5,1.0,2000,76733,427207
3127,5,3.5,1995,125028,734409
3731,1,3.5,1970,146450,721399
997,5,3.0,1981,41240,310068
2730,1,2.0,1988,128234,515181
4382,4,1.5,1961,122493,802320
1408,2,3.0,1996,128344,370577
4072,2,2.5,1967,101363,731596
1947,1,2.0,1970,62762,369330
4197,2,2.0,1962,38259,667486
3311,5,3.5,1970,80139,693883
2594,3,1.0,1957,44849,451296
1459,1,3.5,1995,111768,381640
3611,2,3.0,1956,136108,691775
2169,1,1.5,1972,119709,403867
2786,1,1.0,2024,84869,521257
946,3,1.0,1971,93095,252999
4019,5,2.5,1971,147886,816576
3711,1,1.0,1978,100910,605976
2534,2,3.5,1962,116710,527927
2643,4,1.0,1951,53567,482225
1288,1,3.5,1978,65292,298971
3776,1,2.0,2001,104813,673900
2759,3,3.5,1976,127136,614383
3185,5,3.0,1999,81631,709931
3719,4,1.0,1972,39885,652012
2602,2,1.0,1993,89659,457013
4861,4,3.0,1971,84306,907250
4169,2,1.5,1992,96314,720956
1062,5,2.0,1986,95087,367589
1423,2,2.5,2010,59165,348401
1816,3,1.0,2005,88929,386921
4443,3,2.0,1952,97028,776040
2849,3,1.5,2012,125998,616409
4523,3,3.5,1968,79812,850818
3908,4,3.0,1972,80500,766748
4890,5,2.0,1978,109151,906184
2856,2,1.0,1979,88643,531045
3970,2,1.5,1988,74900,681625
2482,3,2.5,1974,72946,521779
3055,3,3.0,1957,37851,569295
1954,1,2.5,2007,46288,410806
3991,5,3.5,1965,102692,839599
2496,4,1.5,2021,97580,573912
4791,2,3.5,1950,37368,828671
2448,1,2.0,1954,115436,437441
2245,1,1.0,1952,126136,375308
4999,2,2.0,2014,76403,889125
4723,4,2.0,1953,121170,851936
1053,1,3.5,2013,39168,332542
3983,1,2.5,1959,116497,674813
3357,5,3.0,1970,79879,718520
898,4,1.0,1995,89871,287393
3000,1,3.0,1976,139632,589264
3761,4,1.5,2015,141623,792159
4577,2,3.0,1990,119388,855719
3669,3,2.5,1962,128646,692149
4034,1,3.0,1958,62174,688562
4591,5,3.0,1985,129751,925777
1756,2,1.5,2007,122491,409194
4867,4,2.5,2003,36581,913536
960,2,3.0,1961,140155,277191
2100,1,2.5,1963,101853,421856
4787,4,3.5,1983,94046,924249
2327,3,3.5,2002,79678,552543
2018,2,2.0,1969,138392,435151
3904,1,3.5,2024,141250,790735
3535,5,2.0,1965,56649,681937
1754,4,3.5,2019,118668,514105
4246,2,1.0,2005,112325,749027
1845,2,2.0,2007,44567,414511
2493,3,3.0,1953,110404,509164
4236,3,3.5,1953,119906,792564
1362,5,1.0,1969,138069,360887
3285,5,2.5,1959,126019,691795
4154,1,3.5,1973,91944,724201
1025,1,1.0,1975,148428,212660
1759,5,3.5,1986,108002,504936
3867,5,2.0,2003,58803,753134
1615,4,3.5,1970,48230,398270
3920,3,3.0,2023,47862,755726
816,1,3.5,1987,73355,238378
2043,3,3.5,1995,61259,498048
3005,3,1.5,1953,129075,577623
3324,5,1.5,2009,117445,740107
1869,4,2.0,2006,60795,479982
4244,2,1.5,1994,144604,784696
3365,4,1.5,1969,38770,628550
1860,4,2.5,1966,41093,417513
3127,3,1.0,2020,76571,615133
4220,4,1.5,1953,30193,750250
1101,1,2.5,1963,130311,273873
1406,3,2.5,1952,47569,328983
3970,1,2.0,2007,147082,722025
1499,2,3.5,2004,41190,369451
1939,3,3.0,1953,92824,434943
990,2,2.5,1973,72752,260124
3100,3,2.0,1983,62327,579864
1780,5,2.5,1979,72070,493145
3775,4,3.5,1968,115925,774801
1984,5,3.0,1980,70197,496057
4127,2,1.5,2009,32261,716454
4194,4,1.0,2009,148424,817693
927,3,2.5,1968,123905,296819
2865,4,3.5,1998,56512,612100
2616,1,3.5,2012,36716,547137
1369,4,3.5,1971,116795,434979
2695,1,2.5,1973,58933,503771
3533,4,1.0,1979,137225,687443
4663,1,2.0,2007,34378,793576
4814,2,1.5,1980,70583,794398
3701,5,1.5,2013,142082,796684
2486,3,2.5,1968,115371,527362
3809,4,1.5,1997,59033,710960
954,5,1.0,1994,54000,307071
3337,3,3.5,2004,141032,743617
2209,3,1.0,2004,105868,469193
4857,1,2.5,1967,72604,813427
1584,2,2.0,2012,98336,368292
3975,2,1.0,1996,125074,728434
3606,5,3.0,2024,125655,804245
1337,2,3.0,2006,103869,362903
2641,4,1.5,1994,35410,528789
3255,2,1.0,1982,113375,598655
1324,5,2.0,1966,86044,384331
3750,2,1.0,2019,93315,683085
4931,4,3.0,1953,126055,932272
4915,1,1.0,1969,101344,761586
3168,5,2.0,1996,36796,638808
4647,1,2.5,1964,116716,783923
3501,1,2.5,2019,84245,680055
1771,1,2.5,1996,73056,382997
1966,3,2.0,2024,47709,455524
3574,3,1.0,1958,149664,653158
2782,1,1.5,1965,88557,495103
1653,5,1.5,2018,47543,432168
4946,4,1.0,2010,67418,870897
4536,4,2.0,1959,124611,853013
4569,2,3.0,1999,133291,868723
1374,5,1.0,1952,143504,374157
4061,3,3.0,2019,133001,833979
1948,1,1.5,2000,126038,387638
2515,2,1.5,1968,46724,444654
4654,4,3.5,1991,33828,886166
3291,3,2.5,1984,146656,678752
3460,3,1.5,1995,47087,656792
3924,1,1.5,1975,42605,613421
3851,4,1.5,2018,61337,750607
804,5,3.0,2013,35482,329056
1676,3,2.0,1986,95333,356208
1791,1,3.0,1998,122541,417186
4942,5,3.5,1970,118296,975913
1435,4,2.5,2023,80952,438078
2493,3,3.0,2013,35463,541418
2482,5,2.5,1954,142164,550046
919,5,1.0,2019,100448,324737
1630,5,2.5,1953,34648,409578
4475,3,1.0,1988,63623,758512
2169,3,3.0,1984,89156,517676
1540,2,3.0,1950,65634,344566
916,4,1.0,1973,74602,247934
3638,1,3.0,2006,144598,703062
1950,5,2.0,2019,79334,526885
2731,2,1.5,1990,98648,515360
1812,1,3.5,2003,52054,382642
2464,2,1.0,1995,100028,478048
1881,3,2.5,2009,52207,448512
1312,5,2.5,2009,110650,453190
3649,1,3.0,2006,129821,713504
1359,1,2.0,1980,111554,291389
4472,1,1.0,1973,51386,718538
4143,1,2.0,1985,113276,743592
4870,1,1.5,1979,89518,802757
2270,2,1.0,1973,82781,410795
1380,5,2.5,1979,82780,382540
3094,3,3.5,1956,91440,611707
3947,3,2.0,1984,74199,734561
2479,3,1.5,2004,91035,508008
4306,3,1.0,1963,38210,686152
3544,2,2.5,1959,74363,680219
4156,4,3.0,1965,141175,802036
4845,5,3.5,2003,108279,1022740
2043,1,1.5,2019,90348,411012
3918,4,1.0,1993,85284,727073
2941,3,3.5,2022,137628,676879
3859,4,2.5,1994,139835,804510
3759,5,1.5,2005,102124,743315
3065,1,1.5,2006,98847,532568
3279,1,3.5,1970,52432,617218
2435,5,2.0,2017,94089,577234
2557,5,3.0,1999,85398,626440
2870,3,2.5,1982,129291,585863
3649,1,2.0,1956,33321,590636
4051,4,2.5,2019,111348,857577
4530,2,1.5,1964,67383,739284
3289,2,3.0,1981,143816,632256
2431,5,3.0,2024,108682,658322
3616,3,2.5,1969,109190,704888
1815,2,1.0,1964,82893,325592
2148,1,1.5,1997,65820,393840
3887,5,3.0,2020,96262,824521
3639,4,1.5,1970,33760,674033
1135,5,1.0,1991,52190,309324
1695,4,2.5,1975,97411,406674
4346,5,1.0,1963,53377,774793
1651,5,2.5,2006,76737,454118
2487,5,3.0,1986,99569,583384
2731,4,1.5,2007,68211,564304
4546,4,3.5,1970,112909,889649
3227,5,3.0,2018,33744,688205
2368,2,1.0,1952,54995,410474
4800,3,1.0,1986,46977,819645
3538,3,3.5,1998,127938,742188
4298,3,1.5,1968,64542,726420
4713,4,2.5,1961,40651,836937
1866,4,2.0,2010,129239,503011
3244,2,1.0,1990,108931,597234
4907,3,3.5,1982,125344,951599
4173,3,1.0,1999,132112,763800
4769,5,1.5,2017,46715,856833
3346,4,3.0,2020,74409,742821
1553,3,3.5,1982,54306,394595
2882,2,2.0,1973,49086,524835
3574,2,3.0,2010,44376,708326
3696,3,2.5,2010,91350,771591
4985,4,3.5,1977,101425,945715
1575,2,1.5,2007,133358,381938
2425,5,2.0,1992,66636,569570
3869,2,2.0,1990,116120,700745
1217,1,2.5,1988,144889,309262
914,1,1.5,1998,81649,212103
1416,4,1.0,1966,64610,315283
4774,3,1.0,2019,40058,831827
4067,4,1.0,2019,104637,777461
1625,4,1.5,2014,108033,417280
2316,4,2.0,2023,100194,567676
3946,4,1.0,1954,106917,724425
1212,5,2.0,1951,94200,362140
1528,5,1.0,1971,135848,390907
4148,2,3.0,2006,136022,824016
3608,1,2.5,2015,76619,673054
1475,4,3.0,2023,47154,424266
4265,2,2.5,1965,49539,740532
3304,1,3.0,2000,90058,621379
3767,3,1.5,1988,92068,688441
3586,5,1.5,1989,107313,704905
1922,1,1.5,1987,129932,378302
4879,3,2.5,2009,60373,899844
2371,1,3.0,2008,63154,508761
2943,5,1.0,1959,36031,543163
2487,5,3.5,2013,123533,637243
4932,2,3.5,2012,101975,955248
4651,4,1.5,1998,52785,834474
4240,1,1.5,2013,108928,722238
4566,1,3.5,1981,148696,847244
3126,3,1.0,1956,58669,529362
3714,5,1.0,1970,124475,753843
4752,1,1.5,1969,147154,807507
1395,5,2.5,1975,32282,373195
1528,1,3.0,2017,64624,354644
2165,2,3.5,1964,78438,462921
1498,4,2.0,1963,119900,404500
1195,1,3.5,1976,97534,313694
4971,5,1.0,1989,61705,882791
3302,2,3.0,2007,68244,659504
2619,1,1.5,1977,104964,466602
1517,3,2.0,1975,67437,352997
3582,4,1.5,2012,107872,717913
4377,1,3.5,2015,104878,823314
943,2,3.5,1974,149006,313686
3940,3,3.0,1952,135368,764817
3738,2,2.0,2021,102982,712667
4436,2,2.0,1993,80583,776795
4022,3,3.5,1991,68392,769365
1967,2,1.5,1955,37461,345590
3416,3,2.5,1988,130123,695137
1862,1,3.5,2001,40516,398826
2956,3,3.5,1972,109285,614401
3782,3,2.5,1999,47514,743199
4094,4,2.0,1992,130962,778374
1956,3,2.5,1968,66268,426931
1532,3,1.0,2018,120486,407414
1753,1,1.5,2000,130424,322359
3339,4,3.5,1960,66788,686156
4124,5,2.5,1961,105749,804170
4101,1,1.0,2023,91049,717515
2342,1,2.0,1957,92493,409697
1991,5,3.0,1973,66027,510794
3793,3,1.0,1990,123547,706170
3481,2,1.0,1985,72849,600550
2017,4,1.5,2021,130127,495130
2340,2,3.5,2004,47858,537163
4036,5,2.0,1958,114162,780629
3186,1,1.0,1996,109003,592748
4519,1,3.0,1964,82395,801961
2188,4,2.5,1997,69758,483403
2656,1,3.5,1991,84312,526731
2165,1,2.5,2009,98670,442530
1299,4,3.0,2019,146758,451505
2480,4,2.5,1961,112279,541946
1310,5,1.5,1951,45434,318665
2124,1,2.0,1956,94047,397435
1955,1,3.5,1952,77775,411541
2627,5,3.0,1952,105769,603446
3941,3,2.5,1976,144682,756076
4286,3,1.0,1989,96677,748508
2610,3,1.5,1982,113555,525318
3723,5,2.5,1950,115920,747801
3014,1,2.5,1957,138439,550571
4986,5,3.5,1981,75734,951584
1513,5,1.0,1997,131665,430013
4402,3,2.0,1953,118503,776666
4934,2,1.0,2019,70603,843063
4322,1,2.0,1968,106708,728834
2043,3,2.5,1981,111926,464814
4509,2,1.0,1958,98803,733253
1881,2,2.5,1961,69332,358614
1255,4,2.5,1960,121703,357417
1694,1,3.5,1995,51312,390300
2184,2,2.0,1965,123376,443257
2758,3,2.5,1950,114526,560184
3872,4,2.5,2012,74179,768961
2796,1,3.0,1970,101442,510950
1304,5,1.5,1979,144332,388078
2014,3,3.5,1962,147961,483866
2331,2,3.0,1983,70379,475184
4240,2,1.5,1953,47297,685824
1623,3,3.0,1977,32011,368909
1728,2,1.0,2008,146130,376513
933,4,3.0,1976,74014,309572
2905,1,1.0,2018,142094,559897
4427,4,2.0,1974,41738,803991
2652,2,3.0,1952,124333,536887
4975,5,3.5,2017,77498,1013366
3733,1,3.5,1974,41120,656988
4084,1,3.5,1969,146517,765932
3611,3,2.0,1983,38767,653398
2050,3,3.0,1975,52852,450622
4312,5,2.5,1954,109239,816329
2056,1,2.0,2010,30929,394522
4176,5,2.0,1958,107487,803823
4286,3,2.5,1999,148387,846210
4384,3,1.0,1955,121575,734074
2196,1,1.5,2009,144149,456918
4437,4,3.5,1993,125040,879411
4130,2,1.0,1960,47438,660824
3503,3,1.0,2015,78515,649187
